term,definition,subject,slug
Dobin No Futa (土瓶の蓋),A lid for a dobin-style teapot. See Dobin (⼟瓶) and Futa (蓋).,Dobin No Futa (teapot lid),dobin-no-futa-teapot-lid
Don (丼),"A dish that usually consists of rice, egg, and/or vegetables and meat. Don is a shortened version of the name given to the vessel in which don is usually served: a large, deep bowl with a lid that is called a donburi hatchi or donburi batchi (丼鉢) (Costello et al. 2001:35).",,don
Donburi Hatchi/Batchi (丼鉢),"A large, deep bowl used for soup or a dish called don (Costello et al. 2001:35; Simpson et al. 1980:83). The term donburi hachi, which is sometimes pronounced as donburi bachi, translates to ""bowl.""",Donburi (large soup bowl),donburi-large-soup-bowl
Etsuke (絵付・絵付け),"Literally ""apply painting,"" etsuke is hand-painted decoration that is applied either over or under a glaze (Crueger et al. 2006:286). See Uwa-Etsuke (上絵付け) and Shita-Etsuke (下絵付け) for further information.",,etsuke
Fukizumi (吹墨),"A decorative stenciling method. Fukizumi, which literally translates to ""blow ink,"" is a method of blowing or spraying ink over top of a stencil, which is then removed from the vessel leaving voids in the pigment (Crueger et al. 2006:51, 286; Ross 2009:155). Sprayed pigment (fuki-e / 吹き絵) can be applied with or without stencils and is often used to produce shading effects known as bokanshi. Fuki-e methods have been used since the seventeenth century for cobalt-colored decoration, and since 1893 with other pigment colors (Jahn 2004:342).",Fukizumi (spatter stencil),fukizumi-spatter-stencil
Futa (蓋),"The general term for a lid, including bowl or jar lids (Simpson et al. 1980:94). See Dobin no Futa (土瓶の蓋).",Futa (lid),futa-lid
Gohan Chawan/Jawan (ご飯茶碗),"A rice bowl. Many researchers refer to these as rice/soup bowls because they could be used for either foods (Bibb 2013:[4]; Costello et al. 2001:34). See Chawan/Jawan (茶碗).",Gohan Chawan (rice/soup bowl),gohan-chawan-rice-soup-bowl
Gosu (呉須),"Pigment made of natural cobalt (~5% cobalt content). Historically, magnesium, iron, and aluminum impurities gave this glaze a greyish-blue tone (Crueger et al. 2006:286; Ross 2012:5). Around 1870, gosu was replaced by a chemically-produced and less expensive cobalt oxide that creates a brighter, more intense blue (Jahn 2004:342). While most of the ceramics in this collection are decorated with chemically-produced cobalt, AACC-99-009 appears to have been hand painted with natural gosu pigment.",Imari Asagao Namasu-Zara (Imari pickle dish with morning glory design),imari-asagao-namasu-zara-imari-pickle-dish-with-morning-glory-design
Guinomi (ぐい吞み),"Guinomi, which literally means ""gulp drinking,"" is the term for a large sake cup. Some guinomi can be as large as small teacups (Bibb 2013:[4]; Gorham 1971:185).",Guinomi (large sake cup),guinomi-large-sake-cup
Hajiki (土師器),The general name for post-Yayoi (300 BC–300 AD) earthenware (Simpson et al. 2014:112). Unglazed earthenware is also known as doki (土器) (Crueger et al. 2006:284).,Hajiki (earthenware),hajiki-earthenware
Hanjiki (半磁器),"A low-grade or half-porcelain made of a cleaned, white clay that contains toseki (porcelain stone), whitening, and feldspar. Hanjiki is fired at the lower end of porcelain temperatures (1,200–1,250 degrees Celsius) and is described as ""midway between porcelain and stoneware in appearance"" (Crueger et al. 2006:287).",Hanjiki (half porcelain),hanjiki-half-porcelain
Hata (旗),"Flag; Japan's national flag is officially known as Nisshoki (日章旗) (Dower 1971:112).",Hata (flags),hata-flags
Hirabachi (平鉢),"A large serving dish/plate. This vessel has a deeper profile than other dish/plate forms such as the ozara (⼤⽫ / large plate), a fact that is reflected in the term's literal translation: ""flat bowl"" (Simpson et al. 2014:87,90).",Hirabachi (large dish/plate),hirabachi-large-dish-plate
Ho-o Bird (鳳凰),"The ho-o bird (also spelled houou) is a mythical creature adapted from Chinese mythology that incorporates parts of several creatures such as the rooster, mandarin duck, peacock, crane, and pheasant. This bird was misidentified as a phoenix or a ""flying turkey"" by Western consumers in the early twentieth century (Ross 2012:20,23; Walter 2012:125, 129). Ho-o birds are the main decorative element on Phoenix Ware, vessels decorated with a sometsuke transferprint (染付銅板) design that were popular exports from the early 1910s until the 1930s (Van Patten 1994:60); see Phoenix Ware (鳳凰器).",Ho-o Bird,ho-o-bird
Imari (伊万里),"Although this term is somewhat ambiguous, Imari is generally used to describe porcelains produced at various kilns in the Saga or Nagasaki prefectures beginning in the seventeenth century. These early porcelains were decorated with gosu-sometsuke (呉須染付 / natural cobalt pigment applied under the glaze) or iro-e (色絵 / polychrome overglazes) designs and were sold to Japanese markets or exported overseas through the port of Imari (Shimura 2008:3-5; Jahn 2004:345).",Imari Asagao Namasu-Zara (Imari pickle dish with morning glory design),imari-asagao-namasu-zara-imari-pickle-dish-with-morning-glory-design
Iro Doban (色銅板),"Literally ""colored copper plate;"" used here to describe polychrome pigments or pigment colors other than cobalt that are transferprinted under a colorless glaze (Ross 2009:156; 2012:8). See Doban or Doban Tensha (銅板・銅板転写).",Iro Doban (colored transferprint),iro-doban-colored-transferprint
Iro-e (色絵),"The general term for polychrome enamels painted over a colorless glaze on porcelain, stoneware, or earthenware (Jahn 2004:343). Iro-e translates to ""colored painting.""",,iro-e
Iro-e Jiki (色絵磁器),"Polychrome enamels hand-painted over a colorless glaze. Overglaze enamels are also used on stonewares, but iro-e jiki, or ""colored painting porcelain,"" refers specifically to overglaze enamels on porcelain (Wilson 1995:114–15,139–42). These wares are commonly fired at temperatures between 700 and 850 degrees Celsius (Crueger et. al 2006:288). Iro-e jiki enjoyed great popularity, particularly on export markets, during the Meiji and Taisho eras (Costello et al. 2001:35).",Iro-e Jiki (overglaze enamel porcelain),iro-e-jiki-overglaze-enamel-porcelain
Iroyu/Irogusuri (色釉),"A colored glaze. A few examples are seiji (青磁 / Winter Green), kaki (柿 / persimmon), or kiseto (黄瀬戸 / pale yellow) (Simpson et al. 2014:73).",Iroyu (colored glaze),iroyu-colored-glaze
Issei (一世),"The term for Japanese immigrants who arrived in North America prior to the Immigration Act of 1924. This term is derived from the Japanese word for ""first generation."" Descendants of Issei are known by the terms Nisei (second generation), Sansei (third generation), and Yonsei (fourth generation) (Densho Encyclopedia 2017).",,issei
Janome (蛇目・蛇の目),"A circular depression within the footring on a vessel’s base, sometimes called a ""bulls-eye"" recess (Ross 2012:10) or by its literal translation: ""snake's eye.""",Sometsuke Katagami Sho Chiku Bai Namasu-Zara (pickle dish with cobalt stenciled three friends design),sometsuke-katagami-sho-chiku-bai-namasu-zara-pickle-dish-with-cobalt-stenciled-three-friends-design
Jiki (磁器),"Porcelain; a ceramic material composed of kaolin clay, quartz, and feldspar that has been fired at temperatures between 1,250 and 1,350 degrees Celsius (Simpson et al. 2014:112).",Jiki (porcelain),jiki-porcelain
Kaede (楓),Maple tree; a decorative element recalling the beauty of maple leaves and fall (Dower 1971:62).,Kaede (maple),kaede-maple
Kampin Tokkuri (燗瓶徳利),"Literally ""heating bottle decanter,"" this is a type of sake decanter with a round body and tall neck that was popular in the Meiji era (Cort 2000:231).",Kampin Tokkuri (round decanter),kampin-tokkuri-round-decanter
Karakusa (唐草),"A tendril or ""arabesque"" pattern that appears in various stylized iterations. It is frequently used in the background of ho-o bird (or Phoenix Ware / 鳳凰器) designs (Ross 2012:20,23). This decorative element is derived from Chinese precedents and literally translates to ""Chinese grass/weeds.""",Karakusa (tendrils),karakusa-tendrils
Katagami (型紙),"Literally ""molding paper,"" this is a decorative technique that involves rubbing cobalt-colored pigment through a stencil (originally made of paper) to create a pattern of punctuated lines or dots under the glaze (Bibb 2001:5–6). Katagami vessels are often heavily decorated on both interior and exterior surfaces and frequently include yoraku (瓔珞) designs along the interior rim. Developed in the Edo era, katagami was most popular on Meiji-era mass-produced porcelains (Bibb 2001:5-6) prior to the development of transferprint technology. Katagami decoration had largely disappeared from the Japanese market by about 1920 (Ross 2009:156).",Katagami (paper stencil),katagami-paper-stencil
Kikkomon (亀甲紋・亀甲文),Turtle shell diaper pattern (Simpson et al. 2014:72). See Diapers (繋ぎ紋・繋ぎ文 or 乱れ紋・乱れ文) and Sometsuke Katagami Mitsu-Domoe Kozara for examples.,Turtle Shell diaper,turtle-shell-diaper
Kiku (菊),Chrysanthemum; a popular decorative element and a symbol of the Japanese emperor (Walter 2012:125; Dower 1971:52).,Kiku (chrysanthemum),kiku-chrysanthemum
Kikusui (菊水),"An export mark that features a chrysanthemum half submerged in water that is frequently paired with the English phrase ""Trade Mark/Made in Japan."" This mark has been identified on ceramics found at archaeological sites throughout the West that were occupied between approximately 1900 and 1945 (Burton 2005:96; Costello et al. 2001:33–34; Costello and Maniery 1988:27, 83; Ross 2012:25–26).",Doban Chawan (transferprint bowl),doban-chawan-transferprint-bowl
Kiri,"Paulownia flower; a three-leafed flower that is associated with the Japanese imperial family (especially the empress) and that was widely used by samurai families in the Tokugawa era. In Chinese mythology, the paulownia is the only tree that the phoenix will land on when it visits earth (Dower 1971:68-69).",Kiri (paulownia),kiri-paulownia
Kobachi (⼩鉢),"A small bowl, often used for side dishes (Ross 2012:10; Simpson et al. 1980:83).",Kobachi (small bowl),kobachi-small-bowl
Kohiki,"White slip decoration; usually applied by dipping the majority of an unfired vessel into white slip, which sometimes leaves finger marks in the glaze along the base of the vessel (Crueger et al. 2006:28,289).",Kohiki (slip dipped),kohiki-slip-dipped
Komori,"Bats. Gorham (1971:200) claims the use of bats as a symbol of future happiness is based on Chinese ceramics. Dower (1971:88) explains that this is because the second ideograph in the word bat can be read as fuku, which ""can be written with an ideograph meaning good fortune."" Bats were commonly paired with peaches on Chinese ceramics and this motif also appears on Japanese ceramics, though it is often executed in distinctive ways.",Komori (bats),komori-bats
Kozara (⼩⽫),"A small, shallow dish or plate (Ross 2012:10; Simpson et al. 2014:87).",Kozara (small dish),kozara-small-dish
Kumo,Cloud; a frequently abstracted element in vessel borders and background designs. In Buddhist and Shinto symbolism clouds can represent ancestors or the spirit world (Dower 1971:40).,kumo (clouds),kumo-clouds
Kushime,"Combing. The surface of a vessel is incised with multiple parallel lines using a toothed tool, such as a bamboo comb or metal hacksaw blade (Simpson et al. 2014:58). This surface treatment can be purely decorative but is also used to create the grating surface of a suribachi.",Suribachi (grinding bowl),suribachi-grinding-bowl
Kyusu (急須),A small teapot designed for individual use. This teapot has a hollow handle that projects from the vessel side at 90 degrees from the spout (Costello et al. 2001:35; Ross 2012:12; Walter 2012:111).,Kyusu (small teapot),kyusu-small-teapot
Kyusu No Totte,A handle for a kyusu-style teapot (Simpson et al. 2014:106–107). Also see Kyusu and Futa.,Kyusu No Totte (teapot handle),kyusu-no-totte-teapot-handle
Mamezara (⾖⽫),"A very small, shallow dish used to hold condiments or sweets (Walter 2012:128).",Mamezara (sauce dish),mamezara-sauce-dish
Matsu,"Pine; a decorative element that is associated with strength, prosperity, and longevity. Pine needles in pairs symbolize unfailing devotion (Gorham 1971:209–210; Ross 2012:20).",Matsu (pine),matsu-pine
Meiji Era,"The years between 1868 and 1912. Named for the ""enlightened rule"" of the Meiji emperor who was restored to head of government at the end of the Tokugawa era (Gordon 2009:61). This era can be further divided into Early (1868–1885), Middle (1885–1895), and Late (1895–1912) periods.",,meiji-era
Mingei Undo,"The Japanese Folk-Craft Movement. Founded in 1926 by writer and intellectual Yanagi Soetsu and potters Hamada Shoji, Kawai Kanjiro, and Tomimoto Kenkichi, this movement advocated for the reinvigoration of rural craft traditions and the incorporation of traditional Japanese asthetics into the design of everyday objects (Brandt 1996:9; Crueger et al. 2006:19; Jones 2014:143).",Sansui Dobin (landscape teapot),mingei-undo
Mitsu-Domoe,"Threefold swirl. A domoe is a comma-shaped symbol drawn in a circular swirl pattern. Mitsu domoe feature three domoe, while the more common Yin-Yo (yin-yang) features two domoe in an interlocking swirl (Gorham 1971:220). Mitsu-Domoe often appear in association with Buddhist and Shino shrines and represent the interplay of the cosmos, the earth, and human kind; the Chinese yin-yang design represents the balance of feminine and masculine energy.",Mitsu-Domoe (threefold swirl),mitsu-domoe-threefold-swirl
Momo,Peach. Sometimes depicted alone as an auspicious symbol and sometimes paired with bats (Dower 1971:70). See Komori.,momo (peach),momo-peach
Nakazara/Chuzara (中⽫),"A nakazara (also pronounced chuzara) is a medium-sized shallow dish/plate. Rim diameters are generally between 18 and 21 cm (Ross 2012:10; Simpson et al. 2014:87).",Nakazara (medium dish/plate),nakazara-medium-dish-plate
Namasu-Zara (膾⽫),Pickle dish. A deep dish with a large footring that is used to serve pickled foods (Ross 2012:10). Many Meiji-era namasu-zara have scalloped rims and janome-style footrings.,Namasu-Zara (pickle dish/plate),namasu-zara-pickle-dish-plate
Ozara (⼤⽫),"Ozara are large, shallow dish/plates with rims that are generally more than 21 cm in diameter (Simpson et al. 2014:87).",Ozara (large dish/plate),ozara-large-dish-plate
Phoenix Ware,"Phoenix Ware is a transferprint pattern that most commonly includes images of ho-o birds, karakusa tendrils, and paulownia and chrysanthemum flowers, along with several stylized rim designs (Dower 1971:52, 68-69; Oats 1984:18). Although the mythological ho-o bird is Chinese in origin, it came to symbolize imperial authority in Japan and is often combined with other imperial symbols like the paulownia flower and the chrysanthemum (Jahn 2004:343; Walter 2012:125, 129). This pattern was very popular on exports from just prior to 1914 until the 1930s and primarily appears on Western-style forms (Van Patten 1994:60). Despite is primacy as an export pattern, Phoenix Ware designs have been found at Japanese American archaeological sites (see Costello et al. 2001:33; Ross 2012:18). Also see Ho-o bird.",Ho-o Bird,phoenix-ware
Saka-Bin,A ceramic sake bottle (Bibb 2013:[4]). Often made of hanjiki or stoneware and covered in a bluish white or greyish white exterior glaze (Ross 2012:12).,Saka-Bin (sake bottle),saka-bin-sake-bottle
Sakazuki (盃),"Sakazuki are smaller sake cups with wide rims, shallow profiles, and sometimes pronounced footrings.",Sakazuki (small shallow sake cup),sakazuki-small-sake-cup
Sakura,"Cherry. Cherry blossoms are common decorative elements on Japanese ceramics and represent the people of Japan; when combined with chrysanthemums they represent the unity of the Japanese people and the emperor (Walter 2012:123). As decorative elements, cherry blossoms can be distinguished from plum blossoms by their heart-shaped petals (Dower 1971:50-51).",Sakura (cherry),sakura-cherry
Samehada-Gusuri,See Shark-skin glaze.,,samehada-gusuri
Sansui Dobin,"Literally ""Landscape teapot."" This style of teapot is most often associated with Mashiko potteries and the Mingei movement. In 1938 a sansui dobin decorated by Minigawa Matsu gained international recognition by winning first place at the First International Craft Exhibition in Berlin (Crueger et al. 2006:220).",Sansui Dobin (landscape teapot),sansui-dobin-landscape-teapot
Sara (⽫),A plate (Crueger et al. 2006:293). Used here to describe plates of indeterminate size or shape.,Sara (indeterminate dish/plate,sara-indeterminate-dish-plate
Seigaiha,Blue sea wave diaper; a repeating pattern of overlapping semicircles that resembles the appearance of sea waves (Simpson et al. 2014:72).,Seigaiha (blue sea waves) diaper,seigaiha-blue-sea-waves-diaper
Seiji,"A blueish-green glaze similar to Chinese Winter Green (Celadon) that is applied to both porcelain and stonewares (Crueger et al. 2006:64,293; Ross 2012:19).",Seiji (Winter Green),seiji-winter-green
Sekki,"A type of Japanese stoneware with a non-porous paste that is composed of colored clay and fired between 1,200 and 1,300 degrees Celsius. These vessels are impervious to liquid and so are often left unglazed (Crueger et al. 2006:287; Simpson et al. 2014:112).",Sekki (vitrified stoneware),sekki-vitrified-stoneware
Sen,Coin (Dower 1971:108). Images of both Chinese and Japanese coins appear on Japanese ceramics as decorative motifs.,Sen (coin),sen-coin
Senbori,Incised lines or bands. These are often carved with a bamboo or metal tool while the clay is leather-hard (Simpson et al. 2014:60).,Senbori (incised lines/bands),senbori
Seven Jewels,Interlocking circles in a diaper pattern. See Ross (2012:21-22) and Sometsuke Katagami Mitsu-Domoe Kozara for examples.,Seven Jewels diaper,seven-jewels-diaper
Shark-skin Glaze,"Shark-skin glazes have a distinctive bumpy surface that is created by contraction and cracking of the glaze during firing. This glazing methods was popular at a number of potteries during the Meiji period, some of which began exporting shark-skin wares to America in 1885. This glaze can also be called same-gusuri or samehada-gusuri (Crueger et al. 2006:293; Ross 2009:159-160).",Samehada-Gusuri (shark-skin glaze),samehada-gusuri-shark-skin-glaze
Shita-Etsuke,"Hand-painted pigments applied under a colorless glaze. Historically, cobalt, iron, and copper were the most frequently-used compounds in underglaze pigments. When cobalt-colored pigments are used exclusively on hand-painted porcelain, the resulting designs are classified as sometsuke. Iron and copper compounds are frequently hand-painted onto to stone- or earthenwares and produce brown to yellow (iron) or green (copper) decoration (Crueger et al. 2006:29,286; Simpson et al. 2014:69).",Shita-Etsuke (underglaze),shita-etsuke-underglaze
Sho Chiku Bai,"Known as the Three Friends or the Three Friends of Winter, Sho Chiku Bai is a decorative motif adapted from Chinese ceramics that incorporates elements of pine, plum, and bamboo. These three plants are associated with winter because pine and bamboo remain green and plum is among the first trees to flower in the spring. Together these elements represent the attributes of longevity (pine), scholarly and pure spirit (plum), and flexibility (bamboo) (Gorham 1971:2,010; Ross 2012:21). This design appeared frequently on porcelain of the Tokugawa era and its use spread to nearly all ceramic centers of the Meiji era (Jahn 2004:346).Sho Chiku Bai is not a direct translation of pine, plum, and bamboo (matsu, ume, and take in Japanese) but is rather the Chinese pronunciation of the Kanji characters, a fact that highlights the ongoing and reciprocal exchange between Chinese and Japanese potters.",Sho Chiku Bai (three friends),sho-chiku-bai-three-friends
Showa Era,"In Japan, the years between 1926 and 1989. This era began with the death of the Taisho emperor and encompasses the rule of his son, the Showa or ""shining peace"" emperor (Gordon 2009:165).",,showa-era
Soba-Choko (そば猪⼝),"A small, straight-sided cup intended to hold sauce for soba or udon noodles. Cold noodles are dipped into the cup with chopsticks (Costello et al. 2001:36).",Soba Choko (cold noodle sauce cup),soba-choko-cold-noodle-cup
Sometsuke,"Exclusively cobalt-colored pigment applied under a colorless glaze on porcelain vessels. Sometsuke is frequently applied through stenciling (sometsuke katagami) or transferprinting (sometsuke doban) but unless otherwise specified refers to hand-painted decoration (Crueger et al. 2006:29,295).",Sometsuke (hand-painted cobalt),sometsuke-hand-painted-cobalt
Sometsuke Doban,"Transferprint using only cobalt-colored pigment, see Sometsuke (Crueger et al. 2006:29,295).",Sometsuke Doban (transferprint cobalt),sometsuke-doban-transferprint-cobalt
Sometsuke Katagami,"Stenciling using only cobalt-colored pigment, see Sometsuke (Crueger et al. 2006:29,295).",Sometsuke Katagami (stencil cobalt),sometsuke-katagami-stencil-cobalt
Sorori Tokkuri (曽呂利徳利),"A type of sake decanter with a tall, slender body and a ""tulip""-shaped rim or straight neck (Cort 2000:231).",Sorori Tokkuri (slender decanter),sorori-tokkuri-slender-decanter
Sumi Hajiki,"A decorative technique that uses areas of resist. Sumi Hajiki is created by applying ink under other pigments, which burns off when the vessel is fired, and leaves voids in the pigment (Wilson 1995:118).",Sumi Hajiki (ink resist),sumi-hajiki-ink-resist
Suribachi,"A mortar bowl with parallel incised grooves (kushime) on the interior that create an abrasive surface. Used for grinding sesame seeds into a paste or mixing miso with other ingredients. Brown glazes and slips are common exterior treatments (Ross 2012:13-14; Simpson et al. 2014:58,89).",Suribachi (grinding bowl),suribachi-grinding-bowl
Suyehiro,"Fan. Because of their expanding shape, fans can represent good fortune (Gorham 1971:222).",suyehiro (fans),suyehiro-fans
Suzume,"Sparrow. As decorative elements, sparrows are commonly paired with bamboo (Dower 1971:99).",suzume (sparrow),suzume-sparrow
Taisho Era,"The years between 1912 and 1926. This era began with the death of the Meiji emperor and encompasses the rule of his son, the Taisho emperor (Gordon 2009:127).",,taisho-era
Take,"Bamboo; one of the more popular design elements, bamboo symbolizes strength, endurance, integrity, purity, and nobility. It is often accompanied by plum and pine (Sho Chiku Bai, or the Three Friends) or the phoenix and paulownia (Dower 1971:46).",Take (bamboo),take-bamboo
Teipotto (ティーポット),"A type of teapot. Teipotto have Western-style handles and spouts that are attached to the teapot sides at 180 degrees from one another (Nakajima 1999:81). Teipotto are sometimes also called hama dobin. Hama is thought to be derived from Yokohama, a port engaged in Western trade in the Meiji and Taisho eras, and dobin are Japanese-style teapots used to serve tea at family meals.",Teipotto (Western-style teapot),teipotto-western-style-teapot
Toki,"A type of Japanese stoneware with a slightly porous paste that is composed of colored clay and fired between 1,000 and 1,300 degrees Celsius. Because they are not completely impervious to liquid, toki vessels are generally glazed (Crueger et al. 2006:287).",Toki (porous stoneware),toki-porous-stoneware
Tokin Kodai,"""Helmet foot;"" a type of vessel foot that has a raised cone in the center of its footring (Simpson et al. 2014:54).",Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [2];	Sumi Hajiki Kaede Kozara (small dish with ink resist maple leaves ),tokin-kodai
Tokkuri (徳利),The general term for a sake decanter of any size (Bibb 2013:[4]).,Tokkuri (sake decanter),tokkuri-sake-decanter
Tokugawa Era,"The years between 1600 and 1868. Named for the Tokugawa family, whose members served as the military rulers during this era (Gordon 2009:11).",,tokugawa-era
Tsuru,"Crane. A symbol of good fortune, longevity, happiness, and friendship that is common on Japanese ceramics. For examples from archaeological contexts see Costello and Maniery (1988:58, 59), Paraso et. al (2013:5.22), and Walter (2012:127). For non-archaeological examples see Morse (1901:8).",Tsuru (crane),tsuru-crane
Tsutsu,"Cylindrical. Japanese teacups come in a variety of shapes, from hemispherical to cylindrical. A shorter cylindrical cup can be described as an han-tsutsu-gata (low cylinder type) yunomi (Simpson et al. 2014:94).",Sometsuke Katagami Seigaiha Tsutsu Yunomi (cylindrical teacup with stenciled blue sea waves),tsutsu
Ume,Plum tree; a common decorative element that is a symbol of womanhood or strength in adversity (Gorham 1971:210–211; Ross 2012:20).,Ume (plum),ume-plum
Uwa-Etsuke,"Hand-painted enamels applied on top of a glaze. Overglaze enamels are common in a number of colors, such as green, yellow, blue, purple, and black. Historically, red (aka) was the most frequent overglaze color and the term aka-e (red painting) can be used as a general term for enamel painting (Crueger et. al 2006:286; Simpson et al. 2014:69).",Uwa-Etsuke (overglaze),uwa-etsuke-overglaze
Yama,Mountain; common decorative elements. Mountains are often associated with ambition and success (Dower 1971:42).,Yama (mountain),yama-mountain
Yin-Yo,Yin-yang; see Mitsu-Domoe.,Yin-Yo (yin-yang),yin-yo-yin-yang
Yoraku,"Literally ""necklace,"" yoraku are a style of rim design frequently found on the interior of katagami wares. Some of the more common variations include pendants, tassels, pendant triangles, and tassels with chrysanthemums (Ross 2012:21; Takenobu 1942).",Yoraku,yoraku
Yunomi (湯吞み),"A teacup, either hemispherical or cylindrical (Ross 2012:10; Costello et al. 2001:36).",Yunomi (teacup),yunomi-teacup
Aizu-Hongo,"A ceramic center that encompasses Aizu-Hongo and Aizu-Wakamatsu in the Fukushima Prefecture of Japan. Kilns in this area began producing porcelain around 1800 and these wares were exported to Tokyo and throughout the northeast part of Honshu. Beginning in the late nineteenth century, Aizu-Hongo wares were also exported to the United States (Crueger et al. 2006:228).  Aizu-Hongo teapots decorated with sometsuke peony motifs appear in American import catalogs from 1907 and 1916 (Van Patten 1997:11,16). Shark-skin glazed teapots, also likely from Aizu-Hongo, appear in 1914 and 1916 catalogs (Litts 1988:44; Van Patten 1994:37). Aizu-Hongo teapots appear to have come in dobin, kyusu, and teipotto forms.",Aizu-Hongo,aizu-hongo
Nami,"Wave. According to Dower (1971:44), wave designs became particularly popular after the twelfth century; waves can symbolize elegance, power, and resilience and are common as landscape elements or border designs (Arts 1983:103).",Nami,nami
Tsuki,Moon. The moon commonly appears as a landscape or decorative element on ceramics; it is sometimes associated with elegance or with poetry (Dower 1971:41).,Tsuki,tsuki
Takarabune,"The takarabune, or treasure ship, carries the seven gods of good fortune (Shichi Fukujin) into ports on New Year's Eve to distribute treasure.For this reason, it is associated with New Years festivities.It is also associated with good fortune in business, particularly for merchants and urban workers.The takarabune is usually depicted as a Chinese-style ship with a single mast and a sail adorned with the character for ""good fortune"" and it is often paired with a crane and/or turtle (Ashkenazi 2003:247-249, 266; Gorham 1971:223).Ashkenazi (2003:247-249) calls the Takarabune one of the most commonly displayed mythological images in modern Japan.",Takarabune,takarabune
Nadeshiko,"Pink. A type of dianththus that has jagged petal tips, both wild (native) and cultivated varieties of this flower grow in Japan (Dower 1979:72-73).Nadeshiko are sometimes associated with womanhood.",Nadeshiko,nadeshiko
Sennin,"Immortals. Based on Chinese depictions of the Seven Taoist Immortals, Japanese Sennin (often hermit immortals) can be depicted as human figures or simply by one of their associated attributes: a fan, a sword, a gourd, two castanets/tablets, a basket of flowers, a drum made of bamboo tubes and rods, a flute, and a lotus flower (Arts 1983:78; Gorham 1971:215).",Sennin,sennin
Kannyu,"Glaze that contains a network of hairline cracks, which often expand across the entire surface of a vessel; this intentionally-produced decorative effect is achieved during the firing process and is the result of pairing glaze and paste materials that have different rates of expansion.Crackle glazes are common on Satsuma-style wares (Creuger et al. 2006:37, 289).",Kannyu,kannyu
