author,publication
"Ross, Douglas E","2012 Late Nineteenth- and Early Twentieth-Century Japanese Domestic Wares from British Columbia. In Ceramics in America, edited by Robert Hunter, pp. 2-29. Chipstone Foundation, Fox Point, WI. "
"Schaefer, Jerry, and William McCawley","1999 A Pier into the Past at Point Mugu: The History and Archaeology of a Japanese-American Sportfishing Resort. Prepared for the US Army Corps of Engineers, Los Angeles, California under contract No. DACA09-94D-0019. Prepared by ASM Affiliates, Encinitas, CA."
"Shimura, Goro","2008 The Story of Imari: The Symbols and Mysteries of Antique Japanese Porcelain. Ten Speed, Berkeley, CA. "
"Simpson, Penny, Lucy Kitto, and Kanji Sodeoka","1980 The Japanese Pottery Handbook. Kodansha International, Tokyo. "
"Simpson, Penny, Lucy Kitto, and Kanji Sodeoka","2014 The Japanese Pottery Handbook. Updated Edition. Kodansha USA, New York, NY. "
"Takenobu, Yoshitaro (editor)","1942 Kenkyusha's New Japanese-English Dictionary. Harvard University Press, Cambridge, MA."
"Van Patten, Joan F","1994 The Collector's Encyclopedia of Nippon Porcelain, Third Series.  Collector Books, Padukah, KY."
"Van Patten, Joan F","1997 The Collector's Encyclopedia of Nippon Porcelain, Fourth Series. Collector Books, Padukah, KY."
"Walter, Susan D","2012 Appendix A: Description of Fish Camp Kushimoto No Kyampu Ceramics of Special Interest. In Results of the Archaeological Monitoring Program for the Restaurant Depot Project, by Carmen Zepeda-Herman and Harry Price, pp. 100–137. Prepared for Jetro Cash and Carry, Anaheim, California. Prepared by RECON Environmental, Inc., San Diego, CA."
"Wegars, Priscilla","2012 Japanese Artifact Illustrations, Terminology, and Selected Bibliography.  Pamphlet originally prepared for the Chinese and Japanese Artifact Workshop at the 32nd Conference on Historical and Underwater Archaeology, Salt Lake City, UT, 1999."
"White, William A., Sharon A. Boswell, and Christian J. Miss","2009 Results of Data Recovery and Site Evaluation Excavations at the Japanese Gulch Site 45-SN-398, Mukilteo, Washington. NWAA Report Number WA07-057. Report Prepared for Sound Transit, Seattle, Washington. Prepared by Northwest Archaeological Associates, Inc., Seattle, WA."
"Wilson, Richard L","1995 Inside Japanese Ceramics: A Primer of Materials, Techniques, and Traditions. Weatherhill, NY."
"Zepeda-Herman, Carmen, and Harry Price","2012 Results of the Archaeological Monitoring Program for the Restaurant Depot Project. Prepared for Jetro Cash and Carry, Anaheim, California. Prepared by RECON Environmental, Inc., San Diego, CA."
"Arts, P.L.W.","1983. Japanese Porcelain: A collector's Guide to General Aspects and Decorative Motifs. Uitgeversmaatschappij De Tijdstroom Lochem-Poperinge, Lochem, the Netherlands."
"Ashkenazi, Michael","2003. Handbook of Japanese Mythology. ABC-CLIO, Santa Barbara, California."
"Bowes, James Lord","1882. Japanese Marks and Seals. Part I. Pottery. Henry Sotheran and Co., London."
"Foster, Michael Dylan","2015. The Book of Yokai: Mysterious Creatures of Japanese Folklore. University of California Press, Oakland, California."
"Lu, Jing, and Baocong Guan","1999. Zhongguo Min Jian Qing Hua Ci (Chinese Vernacular Blue and White Porcelain). Shenyang Shi: Liaoning Hua Bao Chu, China."
"Maezaki, Shinya","2009. Qing-style Porcelain in Meiji Japan: The Ceramic Art of Seifu Yohei III. PhD Dissertation submitted to The School of Oriental and African Studies, University of London, United Kingdom."
"Walley, Glen and the University of Oregon","2019 Yōkai Senjafuda. Digital exhibit, available https://glam.uoregon.edu/yokaisenjafuda/page/welcome"
