object-id,title,identifier,functional-category,material,vessel-form,artifact-dimensions,pigment-application,decoration-type,exterior-decoration-method,exterior-decoration-color,exterior-decoration-elements,interior-decoration-method,interior-decoration-color,interior-decoration-elements,marks,cdm-number
hjccc-8,Sometsuke Take Zara (dish with cobalt hand-painted bamboo),45SN398B-2007-222,Mealtime Tableware,Jiki (porcelain),Sara (indeterminate dish/plate),Footring~ 8 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band around footring,Etsuke (hand painted),Cobalt blue,Take (bamboo),None,8
hjccc-141,Doban Yin-Yo Gohan Jawan (rice/soup bowl with transferprint yin-yang),45SN398B-2007-223_1of1,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),"Rim= 12 cm, height= 7 cm",Shita-Etsuke (underglaze),Other,Doban or Doban Tensha (transferprinted),"Cobalt blue, green",Yin-Yo (yin-yang),None,None,None,None,141
hjccc-14,Doban Chawan (transferprint bowl),45SN398B-2007-224,Mealtime Tableware,Jiki (porcelain),Chawan (indeterminate bowl),Footring= 4.5 cm,Shita-Etsuke (underglaze),Iro Doban (colored transferprint),Doban or Doban Tensha (transferprinted),Cobalt blue,Indeterminate,None,None,None,"Transferprint mark on base: ""TRADEMARK/ [Kikusui, or chrysanthemum on water ]/MADE IN/JAPAN",14
hjccc-20,Bottom of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl),45SN398B-2007-226_1of2,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, indeterminate",,,,,18
hjccc-20,Side of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl),45SN398B-2007-226_2of2,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,,,,,,19
hjccc-23,Bottom of Sometsuke Doban Sho Chiku Bai Gohan Jawan (rice/soup bowl with cobalt transferprint three friends design),45SN398B-2007-228.1_1of2,,Jiki (porcelain),,,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Sho Chiku Bai (three friends),,,,,21
hjccc-23,Side of Sometsuke Doban Sho Chiku Bai Gohan Jawan (rice/soup bowl with cobalt transferprint three friends design),45SN398B-2007-228.1_2of2,,Jiki (porcelain),,,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Sho Chiku Bai (three friends),,,,,22
hjccc-26,Bottom of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [2],45SN398B-2007-229A_1of2,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Incised bands around base, indeterminate (possible botanical)",,,,,24
hjccc-26,Side of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [2],45SN398B-2007-229A_2of2,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,,,,,,25
hjccc-30,Side of Sometsuke Botan Doban Mamezara (sauce dish with cobalt transferprint peony),45SN398B-2007-232_1of3,,Hanjiki (half porcelain),,,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Botan (peony) flower,,,,,27
hjccc-30,Interior of Sometsuke Botan Doban Mamezara (sauce dish with cobalt transferprint peony),45SN398B-2007-232_2of3,,Hanjiki (half porcelain),,,,,,,,None,None,None,None,28
hjccc-30,Bottom of Sometsuke Botan Doban Mamezara (sauce dish with cobalt transferprint peony),45SN398B-2007-232_3of3,,Hanjiki (half porcelain),,,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Botan (peony) flower,,,,,29
hjccc-33,Top of Sometsuke Jawan No Futa (hand-painted cobalt bowl lid),45SN398B-2007-234J_1of2,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, indeterminate",,,,,31
hjccc-33,Side of Sometsuke Jawan No Futa (hand-painted cobalt bowl lid),45SN398B-2007-234J_2of2,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, indeterminate",,,,,32
hjccc-13,Sometsuke (hand-painted cobalt) Vessel [2],45SN398B-2007-234P,Indeterminate Tableware,Jiki (porcelain),Unknown,Footring~ 4.5 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, indeterminate",None,None,None,"Partial hand-painted base mark with only one complete character, which may be gi (祇)",13
hjccc-17,Sometsuke (hand-painted cobalt) Vessel [1],45SN398B-2007-234Q,Indeterminate Tableware,Jiki (porcelain),Unknown,Footring= 4 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, indeterminate (possible matsu [pine] needles)",None,None,None,Hand-painted base mark is too stylized to read.,17
hjccc-36,Bottom of Sometsuke (hand-painted cobalt) Cup,45SN398B-2007-234R_1of2,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band around footring,,,,,34
hjccc-36,Side Sometsuke (hand-painted cobalt) Cup,45SN398B-2007-234R_2of2,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band around footring,,,,,35
hjccc-39,Interior of Sumi Hajiki Kaede Kozara (small dish with ink resist maple leaves ),45SN398B-2007-236_1of2,,Jiki (porcelain),,,,,,,,Sumi Hajiki (ink resist),"Cobalt blue, pink",Kaede (maple),,37
hjccc-39,Side of Sumi Hajiki Kaede Kozara (small dish with ink resist maple leaves ),45SN398B-2007-236_2of2,,Jiki (porcelain),,,,,Etsuke (hand painted),Cobalt blue,Horizontal band around footring,,,,,38
hjccc-42,Top of Dobin No Futa (teapot lid),45SN398B-2007-254_1of2,,Sekki (vitrified stoneware),,,,Other,Iroyu (colored glaze),"Red, green, yellow, cobalt blue, black",,,,,,40
hjccc-42,Side of Dobin No Futa (teapot lid),45SN398B-2007-254_2of2,,Sekki (vitrified stoneware),,,,Other,Iroyu (colored glaze),"Red, green, yellow, cobalt blue, black",,Iroyu (colored glaze) or possible slip,,,,41
hjccc-45,Side of Kyusu No Totte (teapot handle),45SN398B-2007-270_1of2,,Jiki (porcelain),,,,Undecorated,None,None,None,,,,,43
hjccc-45,Bottom of Kyusu No Totte (teapot handle),45SN398B-2007-270_2of2,,Jiki (porcelain),,,,,None,None,None,,,,,44
hjccc-48,Interior of Sometsuke Katagami Sho Chiku Bai Gohan Jawan (rice/soup bowl with cobalt stenciled three friends design),45SN398B-2007-278&295_1of2,,Jiki (porcelain),,,,Sometsuke Katagami (stencil cobalt),,,,Katagami (paper stencil),Cobalt blue,"Pendant Yoraku, horizontal band, Sho Chiku Bai (three friends)",,46
hjccc-48,Exterior of Sometsuke Katagami Sho Chiku Bai Gohan Jawan (rice/soup bowl with cobalt stenciled three friends design),45SN398B-2007-278&295_2of2,,Jiki (porcelain),,,,Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,"Sho Chiku Bai (three friends), horizontal band around footring",,,,,47
hjccc-11,Ume Sometsuke Gohan Jawan (rice/soup bowl with cobalt hand-painted plum),45SN398B-2007-285 and 45SN398B-2007-234I,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),"Rim~ 11 cm, footring~ 4.5 cm, height= 5.5 cm",Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, ume (plum)",None,None,None,None,11
hjccc-10,Suyehiro Sometsuke Doban Gohan Jawan (rice/soup bowl with cobalt transferprint fans),45SN398B-2007-286 and 45SN398B-2007-225,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),"Rim~ 11 cm, footring~ 4.5 cm",Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,"Komori (bats), sakura (cherry) blossom, suyehiro (fans)",None,None,None,None,10
hjccc-51,Bottom of Toki (porous stoneware) Cup,45SN398B-2007-291_1of2,,Toki (porous stoneware),,,,Kohiki (slip dipped),None,None,None,,,,Impressed base mark that is not complete enough to translate,49
hjccc-51,Side of Toki (porous stoneware) Cup,45SN398B-2007-291_2of2,,Toki (porous stoneware),,,,Kohiki (slip dipped),None,None,None,,,,,50
hjccc-154,Top of Sometsuke Katagami Sho Chiku Bai Namasu-Zara (pickle dish with cobalt stenciled three friends design),AACC-2000-224_1of3,,Jiki (porcelain),Namasu-Zara (pickle dish/plate),,,Sometsuke Katagami (stencil cobalt),,,,Katagami (paper stencil),Cobalt blue,Sho Chiku Bai (three friends),,151
hjccc-154,Bottom of Sometsuke Katagami Sho Chiku Bai Namasu-Zara (pickle dish with cobalt stenciled three friends design),AACC-2000-224_2of3,,Jiki (porcelain),Namasu-Zara (pickle dish/plate),,,Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,"Indeterminate, horizontal band around footring",,,,,152
hjccc-154,Side of Sometsuke Katagami Sho Chiku Bai Namasu-Zara (pickle dish with cobalt stenciled three friends design),AACC-2000-224_3of3,,Jiki (porcelain),Namasu-Zara (pickle dish/plate),,,Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,"Indeterminate, horizontal band around footring",,,,,153
hjccc-137,Top of Ho-o Zara (Phoenix Ware dish/plate),AACC-2008-077_1of3,,Jiki (porcelain),Zara (dish/plate),,,Sometsuke Doban (transferprint cobalt),,,,Doban or Doban Tensha (transferprinted),Cobalt blue,"Ho-o-o Bird, Karakusa (tendrils), Kiri (paulownia), Kiku (chrysanthemum)",,134
hjccc-137,Bottom of Ho-o Zara (Phoenix Ware dish/plate),AACC-2008-077_2of3,,Jiki (porcelain),Zara (dish/plate),,,Sometsuke Doban (transferprint cobalt),None,None,None,,,,'MADE IN JAPAN' on base,135
hjccc-137,Side of Ho-o Zara (Phoenix Ware dish/plate),AACC-2008-077_3of3,,Jiki (porcelain),Zara (dish/plate),,,Sometsuke Doban (transferprint cobalt),None,None,None,,,,,136
hjccc-133,Side of Sometsuke Katagami Sakura Gohan Jawan (rice/soup bowl with cobalt stenciled cherry blossom design),AACC-2009-080_1of3,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,Sakura (cherry) blossom,,,,,130
hjccc-133,Top of Sometsuke Katagami Sakura Gohan Jawan (rice/soup bowl with cobalt stenciled cherry blossom design),AACC-2009-080_2of3,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Katagami (stencil cobalt),,,,Katagami (paper stencil),Cobalt blue,"Sho Chiku Bai (three friends), Tassel Yoraku (rim design)",,131
hjccc-133,Bottom of Sometsuke Katagami Sakura Gohan Jawan (rice/soup bowl with cobalt stenciled cherry blossom design),AACC-2009-080_3of3,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,Sakura (cherry) blossom,,,,,132
hjccc-150,Side of Seiji Gohan Jawan (Winter Green rice bowl),AACC-2013-048_1of2,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Seiji (Winter Green),Iroyu (colored glaze),Seiji (Winter Green),None,,,,,148
hjccc-150,Side of Seiji Gohan Jawan (Winter Green rice bowl),AACC-2013-048_2of2,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Seiji (Winter Green),Iroyu (colored glaze),Seiji (Winter Green),None,None,None,None,,149
hjccc-129,Side of Sometsuke Botan Dobin (teapot with hand-painted peonies in cobalt),AACC-2018-001_1of4,,Hanjiki (half porcelain),Dobin (teapot),,,Sometsuke (hand-painted cobalt),Sometsuke (hand-painted cobalt),Cobalt blue,"Botan (peony), Tassel Yoraku (rim design)",,,,,125
hjccc-129,Side of Sometsuke Botan Dobin (teapot with hand-painted peonies in cobalt),AACC-2018-001_2of4,,Hanjiki (half porcelain),Dobin (teapot),,,Sometsuke (hand-painted cobalt),Sometsuke (hand-painted cobalt),Cobalt blue,"Botan (peony), Tassel Yoraku (rim design)",,,,,126
hjccc-129,Top of Sometsuke Botan Dobin (teapot with hand-painted peonies in cobalt),AACC-2018-001_3of4,,Hanjiki (half porcelain),Dobin (teapot),,,Sometsuke (hand-painted cobalt),Sometsuke (hand-painted cobalt),Cobalt blue,"Botan (peony), Tassel Yoraku (rim design)",,,,,127
hjccc-129,Bottom of Sometsuke Botan Dobin (teapot with hand-painted peonies in cobalt),AACC-2018-001_4of4,,Hanjiki (half porcelain),Dobin (teapot),,,Sometsuke (hand-painted cobalt),Sometsuke (hand-painted cobalt),Cobalt blue,"Botan (peony), Tassel Yoraku (rim design)",,,,,128
hjccc-124,Top of Sometsuke Katagami Mitsu-Domoe Kozara (small dish with stenciled yin-yang design),AACC-94-032_1of3,,Jiki (porcelain),Kozara (small dish),,,Sometsuke Katagami (stencil cobalt),,,,Katagami (paper stencil),Cobalt blue,"Karakusa (tendrils), Mitsu-Domoe (threefold swirl), Tsuru (crane), Ume (plum) blossom, Seven Jewels and Turtle Shell diaper",,121
hjccc-124,Bottom of Sometsuke Katagami Mitsu-Domoe Kozara (small dish with stenciled yin-yang design),AACC-94-032_2of3,,Jiki (porcelain),Kozara (small dish),,,Sometsuke Katagami (stencil cobalt),None,None,None,,,,,122
hjccc-124,Side of Sometsuke Katagami Mitsu-Domoe Kozara (small dish with stenciled yin-yang design),AACC-94-032_3of3,,Jiki (porcelain),Kozara (small dish),,,Sometsuke Katagami (stencil cobalt),None,None,None,,,,,123
hjccc-120,Top of Sometsuke Doban Hata Kozara (small dish with transferprint flags),AACC-94-070_1of3,,Jiki (porcelain),Kozara (small dish),,,Sometsuke Doban (transferprint cobalt),,,,Doban or Doban Tensha (transferprinted),Cobalt blue,"Hata (flags), Kiku (chrysanthemum), Kiri (paulownia), written characters",,117
hjccc-120,Bottom of Sometsuke Doban Hata Kozara (small dish with transferprint flags),AACC-94-070_2of3,,Jiki (porcelain),Kozara (small dish),,,Sometsuke Doban (transferprint cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band around footring,,,,,118
hjccc-120,Side of Sometsuke Doban Hata Kozara (small dish with transferprint flags),AACC-94-070_3of3,,Jiki (porcelain),Kozara (small dish),,,Sometsuke Doban (transferprint cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band around footring,Doban or Doban Tensha (transferprinted),Cobalt blue,"Hata (flags), Kiku (chrysanthemum), Kiri (paulownia), written characters",,119
hjccc-116,Side of Saka-Bin (sake bottle) [1],AACC-94-082_1of2,,Hanjiki (half porcelain),Saka-Bin (sake bottle),,,Other,Iroyu (colored glaze),None,None,,,,,114
hjccc-116,Bottom of Saka-Bin (sake bottle) [1],AACC-94-082_2of2,,Hanjiki (half porcelain),Saka-Bin (sake bottle),,,Other,Iroyu (colored glaze),None,None,,,,,115
hjccc-113,Side of Sometsuke Katagami Seigaiha Tsutsu Yunomi (cylindrical teacup with stenciled blue sea waves),AACC-95-13_1of3,,Jiki (porcelain),Yunomi (teacup),,,Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,"Seigaiha (blue sea waves diaper), botanical elements",,,,,110
hjccc-113,Top of Sometsuke Katagami Seigaiha Tsutsu Yunomi (cylindrical teacup with stenciled blue sea waves),AACC-95-13_2of3,,Jiki (porcelain),Yunomi (teacup),,,Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,"Seigaiha (blue sea waves diaper), botanical elements",Katagami (paper stencil),Cobalt blue,Pendant Yoraku (rim design),,111
hjccc-113,Bottom of Sometsuke Katagami Seigaiha Tsutsu Yunomi (cylindrical teacup with stenciled blue sea waves),AACC-95-13_3of3,,Jiki (porcelain),Yunomi (teacup),,,Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,"Seigaiha (blue sea waves diaper), botanical elements",,,,,112
hjccc-147,Side of Sometsuke Doban Choju Yunomi (teacup with cobalt transferprint longevity design),AACC-95-57_1of4,,Jiki (porcelain),Yunomi (teacup),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,"Sho Chiku Bai (three friends), choju (longevity)",,,,Longevity character (壽) on vessel side wall ,143
hjccc-147,Side of Sometsuke Doban Choju Yunomi (teacup with cobalt transferprint longevity design),AACC-95-57_2of4,,Jiki (porcelain),Yunomi (teacup),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,"Sho Chiku Bai (three friends), choju (longevity)",,,,Longevity character (壽) on vessel side wall ,144
hjccc-147,Side of Sometsuke Doban Choju Yunomi (teacup with cobalt transferprint longevity design),AACC-95-57_3of4,,Jiki (porcelain),Yunomi (teacup),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,"Sho Chiku Bai (three friends), choju (longevity)",,,,Longevity character (壽) on vessel side wall ,145
hjccc-147,Top of Sometsuke Doban Choju Yunomi (teacup with cobalt transferprint longevity design),AACC-95-57_4of4,,Jiki (porcelain),Yunomi (teacup),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,"Sho Chiku Bai (three friends), choju (longevity)",Doban or Doban Tensha (transferprinted),Cobalt blue,Tassel Yoraku (rim design),Longevity character (壽) on vessel side wall ,146
hjccc-109,Side of Sometsuke Doban Sho Chiku Bai Tokkuri (sake decanter with cobalt transferprint three friends design),AACC-96-092_1of3,,Jiki (porcelain),Tokkuri (sake decanter),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,"Karakusa (tendrils), Sho Chiku Bai (three friends)",,,,,106
hjccc-109,Side of Sometsuke Doban Sho Chiku Bai Tokkuri (sake decanter with cobalt transferprint three friends design),AACC-96-092_2of3,,Jiki (porcelain),Tokkuri (sake decanter),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,"Karakusa (tendrils), Sho Chiku Bai (three friends)",,,,,107
hjccc-109,Side of Sometsuke Doban Sho Chiku Bai Tokkuri (sake decanter with cobalt transferprint three friends design),AACC-96-092_3of3,,Jiki (porcelain),Tokkuri (sake decanter),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,"Karakusa (tendrils), Sho Chiku Bai (three friends)",,,,,108
hjccc-105,Side of Sometsuke Katagami Sho Chiku Bai Kobachi (small bowl with cobalt stenciled three friends design),AACC-98-025_1of3,,Jiki (porcelain),Kobachi (small bowl),,,Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,Sho Chiku Bai (three friends),,,,,102
hjccc-105,Top of Sometsuke Katagami Sho Chiku Bai Kobachi (small bowl with cobalt stenciled three friends design),AACC-98-025_2of3,,Jiki (porcelain),Kobachi (small bowl),,,Sometsuke Katagami (stencil cobalt),,,,Katagami (paper stencil),Cobalt blue,"Sho Chiku Bai (three friends), Tassel Yoraku (rim design)",,103
hjccc-105,Bottom of Sometsuke Katagami Sho Chiku Bai Kobachi (small bowl with cobalt stenciled three friends design),AACC-98-025_3of3,,Jiki (porcelain),Kobachi (small bowl),,,Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,Sho Chiku Bai (three friends),,,,,104
hjccc-101,Side of Sometsuke Doban Kiku Tokkuri (sake decanter with cobalt transferprint chrysanthemum design),AACC-98-053_1of3,,Jiki (porcelain),Tokkuri (sake decanter),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,"Kiku (chrysanthemum), suzume (sparrow), tassel with chrysanthemum yoraku (rim design)",,,,,98
hjccc-101,Side of Sometsuke Doban Kiku Tokkuri (sake decanter with cobalt transferprint chrysanthemum design),AACC-98-053_2of3,,Jiki (porcelain),Tokkuri (sake decanter),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,"Kiku (chrysanthemum), suzume (sparrow), tassel with chrysanthemum yoraku (rim design)",,,,,99
hjccc-101,Bottom of Sometsuke Doban Kiku Tokkuri (sake decanter with cobalt transferprint chrysanthemum design),AACC-98-053_3of3,,Jiki (porcelain),Tokkuri (sake decanter),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,"Kiku (chrysanthemum), suzume (sparrow), tassel with chrysanthemum yoraku (rim design)",,,,,100
hjccc-97,Top of Imari Asagao Namasu-Zara (Imari pickle dish with morning glory design),AACC-99-009_1of3,,Jiki (porcelain),Namasu-Zara (pickle dish/plate),,,Sometsuke (hand-painted cobalt),,,,Etsuke (hand painted),Cobalt blue,Asagao (morning glory),,94
hjccc-97,Bottom of Imari Asagao Namasu-Zara (Imari pickle dish with morning glory design),AACC-99-009_2of3,,Jiki (porcelain),Namasu-Zara (pickle dish/plate),,,Sometsuke (hand-painted cobalt),None,None,None,,,,,95
hjccc-97,Side of Imari Asagao Namasu-Zara (Imari pickle dish with morning glory design),AACC-99-009_3of3,,Jiki (porcelain),Namasu-Zara (pickle dish/plate),,,Sometsuke (hand-painted cobalt),None,None,None,,,,,96
hjccc-93,Side of Sometsuke Doban Tsuru Komori Gohan Jawan (rice/soup bowl with cobalt transferprint bat and crane design),AACC-99-049_1of3,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Unknown,Stencil or possible stamp,Cobalt blue,"Komori (bats), kumo (clouds), momo (peach), tsuru (crane)",,,,,90
hjccc-93,Side of Sometsuke Doban Tsuru Komori Gohan Jawan (rice/soup bowl with cobalt transferprint bat and crane design),AACC-99-049_2of3,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Unknown,Stencil or possible stamp,Cobalt blue,"Komori (bats), kumo (clouds), momo (peach), tsuru (crane)",,,,,91
hjccc-93,Bottom of Sometsuke Doban Tsuru Komori Gohan Jawan (rice/soup bowl with cobalt transferprint bat and crane design),AACC-99-049_3of3,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Unknown,Stencil or possible stamp,Cobalt blue,"Komori (bats), kumo (clouds), momo (peach), tsuru (crane)",,,,"Four characters, 江西 謹製, and 'MADE IN JAPAN' on base",92
hjccc-89,Side of Samehada-Gusuri Dobin (shark-skin glaze teapot),AACC-99-123_1of4,,Jiki (porcelain),Dobin (teapot),,,Other,Samehada-Gusuri (shark-skin glaze),"Beige, white, green",Indeterminate,,,,,85
hjccc-89,Side of Samehada-Gusuri Dobin (shark-skin glaze teapot),AACC-99-123_2of4,,Jiki (porcelain),Dobin (teapot),,,Other,Samehada-Gusuri (shark-skin glaze),"Beige, white, green",Indeterminate,,,,,86
hjccc-89,Top of Samehada-Gusuri Dobin (shark-skin glaze teapot),AACC-99-123_3of4,,Jiki (porcelain),Dobin (teapot),,,Other,Samehada-Gusuri (shark-skin glaze),"Beige, white, green",Indeterminate,,,,,87
hjccc-89,Bottom of Samehada-Gusuri Dobin (shark-skin glaze teapot),AACC-99-123_4of4,,Jiki (porcelain),Dobin (teapot),,,Other,Samehada-Gusuri (shark-skin glaze),"Beige, white, green",Indeterminate,,,,'JAPAN' on base,88
hjccc-84,Side of Iro Fukizumi Gohan Jawan (polychrome stenciled rice/soup bowl),AACC-MIN-98-11_1of3,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Other,"Etsuke (hand painted), Fukizumi (spatter stencil), Indeterminate","Cobalt blue, brown, orange","Sakura (cherry) blossom, indeterminate",,,,,81
hjccc-84,Side of Iro Fukizumi Gohan Jawan (polychrome stenciled rice/soup bowl),AACC-MIN-98-11_2of3,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Other,"Etsuke (hand painted), Fukizumi (spatter stencil), Indeterminate","Cobalt blue, brown, orange","Sakura (cherry) blossom, indeterminate",None,None,None,,82
