object-id,Title,Catalog Number,Source,Description,Coverage,Date,Functional Category,Material,Vessel Form,Dimensions,Pigment Application,Decoration Type,Exterior Decoration Method,Exterior Decoration Color(s),Exterior Decoration Elements,Interior Decoration Method,Interior Decoration Color(s),Interior Decoration Elements,Marks,Origin,Manufacture Range,Publisher,Rights,Standardized Rights,Preferred Image Citation,Identifier,Metadata Creator,filename,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
hjccc-17,Bottom of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl),45SN398B/2007/226,,,,,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, indeterminate",,,,,,,,,,,45SN398B-2007-226_1of2,,,,2018-02-07,2018-02-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/18,18,19.jp2,/HJCCC/image/19.jp2
hjccc-17,Side of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl),45SN398B/2007/226,,,,,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,,,,,,,,,,,,45SN398B-2007-226_2of2,,,,2018-02-07,2018-02-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/19,19,20.jp2,/HJCCC/image/20.jp2
hjccc-20,Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [1],45SN398B/2007/226,"Burke Museum of Natural History and Culture, US Air Force Collection","This vessel is a nearly complete, deep bowl with an inverted rim that is slightly larger than the average gohan chawan and may have been intended as a soup bowl.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),"Rim~ 10.75 cm, footring= 4.8 cm, height= 7 cm",Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, indeterminate",None,None,None,"Hand-painted, incomplete base mark reads  Arashi-yama.  The district of Arashiyama is located on the outskirts of western Kyoto, and shares its name with a nearby mountain.  Arashiyama can also be a family name.",Japan,Meiji (1868-1912) through early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/226, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-226,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/20,20,21.cpd,/HJCCC/image/21.cpd
hjccc-20,Bottom of Sometsuke Doban Sho Chiku Bai Gohan Jawan (rice/soup bowl with cobalt transferprint three friends design),45SN398B/2007/228.1,,,,,,Jiki (porcelain),,,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Sho Chiku Bai (three friends),,,,,,,,,,,45SN398B-2007-228_1of2,,,,2018-02-07,2018-02-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/21,21,22.jp2,/HJCCC/image/22.jp2
hjccc-20,Side of Sometsuke Doban Sho Chiku Bai Gohan Jawan (rice/soup bowl with cobalt transferprint three friends design),45SN398B/2007/228.1,,,,,,Jiki (porcelain),,,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Sho Chiku Bai (three friends),,,,,,,,,,,45SN398B-2007-228_2of2,,,,2018-02-07,2018-02-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/22,22,23.jp2,/HJCCC/image/23.jp2
hjccc-23,Sometsuke Doban Sho Chiku Bai Gohan Jawan (rice/soup bowl with cobalt transferprint three friends design),45SN398B/2007/228.1,"Burke Museum of Natural History and Culture, US Air Force Collection",Five mending bowl sherds of what is likely a small rice bowl. Decoration consists of a plum (ume) blossom with pine (matsu) elements in the petals and bamboo (take) in the background.  The vessel also has flattened facets around the footring.,"Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),"Rim~ 10.5 cm, footring= 4.5 cm, height= 4.8 cm",Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Sho Chiku Bai (three friends),None,None,None,None,Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/228.1, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-228.1,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/23,23,24.cpd,/HJCCC/image/24.cpd
hjccc-23,Bottom of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [2],45SN398B/2007/229A,,,,,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Incised bands around base, indeterminate (possible botanical)",,,,,,,,,,,45SN398B-2007-229A_1of2,,,,2018-02-07,2018-02-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/24,24,25.jp2,/HJCCC/image/25.jp2
hjccc-23,Side of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [2],45SN398B/2007/229A,,,,,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,,,,,,,,,,,,45SN398B-2007-229A_2of2,,,,2018-02-07,2018-02-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/25,25,26.jp2,/HJCCC/image/26.jp2
hjccc-26,Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [2],45SN398B/2007/229A,"Burke Museum of Natural History and Culture, US Air Force Collection","This near-complete gohan chawan is decorated with a hand-painted abstract design and three senbori (incised bands).  The base of the vessel has a tokin kodaia or ""helmet foot"" with a raised cone in the center of its footring (Simpson et al. 2014:54, 60).","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),"Rim~ 10.5 cm, footring= 4 cm, height= 5 cm",Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Incised bands around base, indeterminate (possible botanical)",None,None,None,Hand-painted base mark that is likely a stylized signature and resembles a three-petaled flower with a 'L'-shaped stem,"Possibly the Seto or Mino region, Japan",Minimalistic hand-painted sometsuke may indicate Taisho-era (1912-1926) manufacture,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/229A, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-229A,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/26,26,27.cpd,/HJCCC/image/27.cpd
hjccc-26,Side of Sometsuke Botan Doban Mamezara (sauce dish with cobalt transferprint peony),45SN398B/2007/232 and 45SN398B/2007/279,,,,,,Hanjiki (half porcelain),,,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Botan (peony) flower,,,,,,,,,,,45SN398B-2007-232_1of3,,,,2018-02-07,2018-02-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/27,27,28.jp2,/HJCCC/image/28.jp2
hjccc-26,Interior of Sometsuke Botan Doban Mamezara (sauce dish with cobalt transferprint peony),45SN398B/2007/232 and 45SN398B/2007/279,,,,,,Hanjiki (half porcelain),,,,,,,,None,None,None,None,,,,,,,45SN398B-2007-232_2of3,,,,2018-02-07,2018-02-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/28,28,29.jp2,/HJCCC/image/29.jp2
hjccc-26,Bottom of Sometsuke Botan Doban Mamezara (sauce dish with cobalt transferprint peony),45SN398B/2007/232 and 45SN398B/2007/279,,,,,,Hanjiki (half porcelain),,,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Botan (peony) flower,,,,,,,,,,,45SN398B-2007-232_3of3,,,,2018-02-07,2018-02-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/29,29,30.jp2,/HJCCC/image/30.jp2
hjccc-30,Sometsuke Botan Doban Mamezara (sauce dish with cobalt transferprint peony),45SN398B/2007/232 and 45SN398B/2007/279,"Burke Museum of Natural History and Culture, US Air Force Collection","Mamezara like the one pictured above are very small dishes traditionally used for condiments or sweets (Walter 2012:128).  These mending sherds have slightly everted rims and a greyish-white paste, grainy with temper, which may be hanjiki (half porcelain) (Crueger et al. 2006:284).","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Hanjiki (half porcelain),Mamezara (sauce dish),"Rim= 7.2 cm, footring= 2.6 cm, height= 2 cm",Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Botan (peony) flower,None,None,None,None,Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog nos. 45SN398B/2007/232 and 45SN398B/2007/279, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-232 and 45SN398B-2007-279,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/30,30,31.cpd,/HJCCC/image/31.cpd
hjccc-30,Top of Sometsuke Jawan No Futa (hand-painted cobalt bowl lid),45SN398B/2007/234J,,,,,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, indeterminate",,,,,,,,,,,45SN398B-2007-234J_1of2,,,,2018-02-07,2018-02-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/31,31,32.jp2,/HJCCC/image/32.jp2
hjccc-30,Side of Sometsuke Jawan No Futa (hand-painted cobalt bowl lid),45SN398B/2007/234J,,,,,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, indeterminate",,,,,,,,,,,45SN398B-2007-234J_2of2,,,,2018-02-07,2018-02-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/32,32,33.jp2,/HJCCC/image/33.jp2
hjccc-33,Sometsuke Jawan No Futa (hand-painted cobalt bowl lid),45SN398B/2007/234J,"Burke Museum of Natural History and Culture, US Air Force Collection","This vessel has a shallow shape with an elongated footring.  The size, shape, and decorative placement indicate that it is most likely a futa for a rice or soup bowl.  The abstracted elements circling the footring may be fish or seigaiha (blue sea waves).","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Futa (lid),"Rim~ 9.5 cm, footring= 4 cm, height= 3 cm",Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,"Horizontal band around footring, indeterminate",None,None,None,None,Japan,Minimalistic hand-painted sometsuke may indicate Taisho-era (1912-1926) manufacture,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/234J, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-234J,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/33,33,34.cpd,/HJCCC/image/34.cpd
hjccc-33,Bottom of Sometsuke (hand-painted cobalt) Cup,45SN398B/2007/234R,,,,,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band around footring,,,,,,,,,,,45SN398B-2007-234R_1of2,,,,2018-02-07,2018-02-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/34,34,35.jp2,/HJCCC/image/35.jp2
hjccc-33,Side Sometsuke (hand-painted cobalt) Cup,45SN398B/2007/234R,,,,,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band around footring,,,,,,,,,,,45SN398B-2007-234R_2of2,,,,2018-02-07,2018-02-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/35,35,36.jp2,/HJCCC/image/36.jp2
hjccc-36,Sometsuke (hand-painted cobalt) Cup,45SN398B/2007/234R,"Burke Museum of Natural History and Culture, US Air Force Collection","Vessel height and rim diameter could not be determined, but footring size and wall shape suggest a cup. Hand-painted decoration is too incomplete to identify elements.","Near Mukilteo, Washington",1903-1928,Indeterminate Tableware,Jiki (porcelain),Unknown,Footring= 3.4 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band around footring,None,None,None,"Hand-painted base mark that is too stylized to translate fully, but the second character is likely kaze or fu, or wind.","Possibly the Seto or Mino region, Japan",Meiji (1868-1912) through early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/234R, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-234R,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/36,36,37.cpd,/HJCCC/image/37.cpd
hjccc-36,Interior of Sumi Hajiki Kaede Kozara (small dish with ink resist maple leaves ),45SN398B/2007/236,,,,,,Jiki (porcelain),,,,,,,,Sumi Hajiki (ink resist),"Cobalt blue, pink",Kaede (maple),,,,,,,,45SN398B-2007-236_1of2,,,,2018-02-07,2018-02-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/37,37,38.jp2,/HJCCC/image/38.jp2
